a	b
stress	sự căng thẳng; căng thẳng, ép, làm căng
stressed	bị căng thẳng, bị ép, bị căng
stretch	căng ra, duỗi ra, kéo dài ra
strict	nghiêm khắc, chặt chẽ,, khắt khe
strictly	một cách nghiêm khắc
strike	đánh, đập, bãi công, đình công; cuộc bãi công, cuộc đình công
striking	nổi bật, gây ấn tượng
string	dây, sợi dây
strip	cởi, lột (quần áo); sự cởi quần áo
stripe	sọc, vằn, viền
striped	có sọc, có vằn
stroke	cú đánh, cú đòn; cái vuốt ve, sự vuốt ve; vuốt ve
strong	khỏe, mạnh, bền, vững, chắc chắ
strongly	khỏe, chắc chắn
structure	kết cấu, cấu trúc
struggle	đấu tranh; cuộc đấu tranh, cuộc chiến đấu
student	sinh viên
studio	xưởng phim, trường quay; phòng thu
study	sự học tập, sự nghiên cứu; học tập, nghiên cứu
stuff	chất liệu, chất
stupid	ngu ngốc, ngu đần, ngớ ngẩn
style	phong cách, kiểu, mẫu, loại
subject	chủ đề, đề tài; chủ ngữ
substance	chất liệu; bản chất; nội dung
substantial	thực tế, đáng kể, quan trọng
substantially	về thực chất, về căn bản
substitute	người, vật thay thế; thay thế
succeed	nối tiếp, kế tiếp; kế nghiệp, kế vị
success	sự thành công, sự thành đạt
successful	thành công, thắng lợi, thành đạt
successfully	thành công, thắng lợi, thành đạt
such	như thế, như vậy, như là. such as đến nỗi, đến mức
suck	bú, hút; hấp thụ, tiếp thu
sudden	thình lình, đột ngột
suddenly	thình lình, đột ngột
suf	phố, đường phố
suffer	chịu đựng, chịu thiệt hại, đấu khổ
suffering	sự đau đớn, sự đau khổ
sufficient	(+ for) đủ, thích đáng
sufficiently	đủ, thích đáng
sugar	đường
suggest	đề nghị, đề xuất; gợi
suggestion	sự đề nghị, sự đề xuất, sự khêu gợi
suit	bộ com lê, trang phục; thích hợp, quen, hợp với
suitable	hợp, phù hợp, thích hợp với
suitcase	va li
suited	hợp, phù hợp, thích hợp với
sum	tổng, toàn bộ
summary	bản tóm tắt
summer	mùa hè
sun	mặt trời
sunday	chủ nhật
superior	cao, chất lượng cao
supermarket	siêu thị
supply	sự cung cấp, nguồn cung cấp; cung cấp, đáp ứng, tiếp tế
support	sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ
supporter	vật chống đỡ; người cổ vũ, người ủng hộ
suppose	cho rằng, tin rằng, nghĩ rằng
sure	chắc chắn, xác thực. make sure chắc chắn, làm cho chắc chắn
surely	chắc chắn
surface	mặt, bề mặt
surname	họ
surprise	sự ngạc nhiên, sự bất ngờ; làm ngạc nhiên, gây bất ngờ
surprised	ngạc nhiên (+ at)
surprising	làm ngạc nhiên, làm bất ngờ
surprisingly	làm ngạc nhiên, làm bất ngờ
surround	vây quanh, bao quanh
surrounding	sự vây quanh, sự bao quanh
surroundings	vùng xung quanh, môi trường xung quanh
survey	sự nhìn chung, sự khảo sát; quan sát, nhìn chung, khảo sát, nghiên cứu
survive	sống lâu hơn, tiếp tục sống, sống sót
suspect	nghi ngờ, hoài nghi; người khả nghi, người bị tình nghi
suspicion	sự nghi ngờ, sự ngờ vực
suspicious	có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi
swallow	nuốt, nuốt chửng
swear	chửi rủa, nguyền rủa; thề, hứa
swearing	lờithề,lờinguyềnrủa,lờithềhứa
sweat	mồ hôi; đổ mồ hôi
sweater	người ra mồ hôi,, kẻ bóc lột lấo động
sweep	quét
sweet	ngọt, có vị ngọt; sự ngọt bùi, đồ ngọt
swell	phồng, sưng lên
swelling	sự sưng lên, sự phồng ra
swim	bơi lội
swimming	sự bơi lội
swimming pool	bể nước
swing	sự đu đưa, lúc lắc; đánh đu, đu đưa, lúc lắc
switch	côngtắc, roi;tắt,bật,đánh bằnggậy,roi. switchsthoffngắtđiện. switchsthon bậtđiện
swollen	sưng phồng, phình căng
swollen swell	phồng lên, sưng lên
symbol	biểu tượng, ký hiệu
sympathetic	đồngcảm,đángmến,dễthương
sympathy	sự đồng cảm, sự đồng ý
system	hệ thống, chế độ
table	cái bàn
tablet	tấm, bản,thẻphiến
tackle	giải quyết, khắc phục, bàn thảo; đồ dùng, dụng cụ
tail	đuôi, đoạn cuối
take	sự cầm nắm, sự lấy. take sth off: cởi, bỏ cái gì, lấy đi cái gì
take care of	sự giữ gìn. care for trông nom, chăm sóc
take part in	tham gia (vào)
take sth over	chở, chuyển cái gì; tiếp quản, kế tục cái gì
takeaction	hành động
talk	nói chuyện, trò chuyện; cuộc trò chuyện, cuộc thảo luận
tall	cao
tank	thùng, két, bể
tap	mở vòi, đóng vòi; vòi, khóa
tape	băng, băng ghi âm; dải, dây
target	bia, mục tiêu, đích
task	nhiệm vụ, nghĩa vụ, bài tập, công tác, công việc
taste	vị, vị giác; nếm
tax	thuế; đánh thuế
taxi	xe tắc xi
tea	cây chè, trà, chè
teach	dạy
teacher	giáo viên
teaching	sự dạy, công việc dạy học
team	đội, nhóm
tear	xé, làm rắch; chỗ rách, miếng xe; nước mắt
technical	(thuộc) kỹ thuật, chuyên môn
technique	kỹ sảo, kỹ thuật, phương pháp kỹ thuật
technology	kỹ thuật học, công nghệ học
telephone (phone)	máy điện thoại, gọi điện thoại
television (tv)	vô tuyếntruyềnhình
tell	nói, nói với
temperature	nhiệt độ
temporarily	tạm
temporary	tạm thời, nhất thời
tend	trôngnom,chămsóc,giữgìn,hầuhạ
tendency	xu hướng, chiều hướng, khuynh hướng
tension	sự căng, độ căng, tình trạng căng
tent	lều, rạp
term	giớihạn,kỳhạn,khóa,kỳhọc
terrible	khủng khiếp, ghê sợ
terribly	tồi tệ, không chịu nổi
test	bài kiểm tra, sự thử nghiệm, xét nghiệm; kiểm tra, xét nghiệm, thử nghiệm
text	nguyên văn, bản văn, chủ đề, đề
than	hơn
thank	cám ơn
thank you	cảm ơn bạn (ông bà, anh chị...)
thanks	sự cảm ơn, lời cảm ơn
that	người ấy, đó, vật ấy, đó; rằng, là
the	cái, con, người, ấy này....
theatre	rạp hát, nhà hát
their	của chúng, của chúng nó, của họ
theirs	của chúng, của chúng nó, của họ
them	chúng, chúng nó, họ
theme	đề tài, chủ đề
themselves	tự chúng, tự họ, tự
then	khi đó, lúc đó, tiếp đó
theory	lý thuyết, học thuyết
there	ở nơi đó, tại nơi đó
therefore	bởi vậy, cho nên, vì thế
they	chúng, chúng nó, họ; những cái ấ
thick	dày; đậm
thickly	dày; dày đặc; thành lớp dày
thickness	tính chất dày, độ dày, bề dày
thief	kẻ trộm, kẻ cắp
thin	mỏng, mảnh
thing	cái, đồ, vật
think	nghĩ, suy nghĩ
thinking	sự suy nghĩ, ý nghĩ
thirsty	khát,cảmthấykhát
this	cái này, điều này, việc này
thorough	cẩn thận, kỹ lưỡng
thoroughly	kỹ lưỡng, thấu đáo, triệt để
though	dù, dù cho, mặc dù; mặc dù, tuy nhiên, tuy vậy
thought	sự suy nghĩ, khả năng suy nghĩ; ý nghĩ, tư tưởng, tư duy
thread	chỉ, sợi chỉ, sợi dây
threat	sự đe dọa, lời đe dọa
threaten	dọa, đe dọa
threatening	sự đe dọa, sự hăm dọa
throat	cổ, cổ họng
through	qua, xuyên qua
throughout	khắp, suốt
throw	ném, vứt, quăng. throw sth away: ném đi, vứt đi, liệng đi
thumb	ngón tay cái
thursday (abbr thur, thurs)	thứ 5
thus	như vậy, như thế, do đó
ticket	vé
tidy	sạch sẽ,ngăn nắp,gọngàng; làmchosạch sẽ, gọngàng, ngănnắp
tie	buộc, cột, trói; dây buộc, dây trói, dây giày. tie sth up có quan hệ mật thiết, gắn chặt
tight	kín, chặt, chật
tightly	chặt chẽ, sít sao
till, until	chođến khi, tớilúcmà
time	thời gian, thì giờ
timetable	kế hoạch làm việc, thời gian biểu
tin	thiếc
tiny	rất nhỏ, nhỏ xíu
tip	đầu, mút, đỉnh, chóp; bịt đầu, lắp đầu vào
tire	làm mệt mỏi, trở nên mệt nhọc; lốp, vỏ xe
tired	mệt, muốn ngủ, nhàm chán
tiring	sự mệt mỏi, sự mệt nhọc
title	đầu đề, tiêu đề; tước vị, tư cách
to	theo hướng, tới
today	vào ngày này; hôm nay, ngày nay
toe	ngón chân (người)
together	cùng nhau, cùng với
toilet	nhà vệ sinh; sự trang điểm (rửa mặt, ăn mặc, chải tóc...)
tomato	cà chua
tomorrow	vào ngày mai; ngày mai
ton	tấn
tone	tiếng, giọng
tongue	lưỡi
tonight	vào đêm nay, vào tối nay; đêm nay, tối nay
tonne	tấn
too	cũng
tool	dụng cụ, đồ dùng
tooth	răng
top	chóp, đỉnh; đứng đầu, trên hết
topic	đề tài, chủ đề
total	tổng cộng, toàn bộ; tổng số, toàn bộ số lượng
totally	hoàn toàn
touch	sờ, mó, tiếp xúc; sự sờ, sự mó, s tiếp xúc
tough	chắc, bền, dai
tour	cuộc đo du lịch, cuộc đi dạo, chuyến du lịch; đi du lịch
tourist	khách du lịch
towards	theo hướng, về hướng
towel	khăn tắm, khăn lấu
tower	tháp
town	thịtrấn,thịxã,thànhphốnhỏ
toy	đồ chơi, đồ trang trí; thể loại đồ chơi
trace	phát hiện, tìm thấy, vạch, chỉ ra, phác họa; dấu, vết, một chút
track	phầncủa đĩa;đườngmòn,đườngđua
trade	thương mại, buôn bán; buôn bán, trao đổi
trading	sự kinh doanh, việc mua bán
tradition	truyền thống
traditional	theo truyền thống, theo lối cổ
traditionally	(thuộc) truyền thống, là truyền thống
traffic	sự đi lại, sự giaothông,sựchuyểnđộng
train	xe lửa, tàu hỏa; dạy, rèn luyện, đào tạo
training	sự dạy dỗ, sựhuấnluyện,sự đào tạo
transfer	dời, di chuyển; sự di chuyển, sự dời chỗ
transform	thay đổi, biến đổi
translate	dịch, biên dịch, phiên dịch
translation	sự dịch
transparent	trong suốt; dễ hiểu, sáng sủa
transport	sự vận chuyển, sự vận tải; phương tiện đi lại
trap	đồ đạc, hành lý; bẫy, cạm bãy; bẫy, giữ, chặn lại
travel	đi lại, đi du lịch, di chuyển; sự đi, những chuyến đi
traveller	người đi, lữ khách
treat	đối xử, đối đãi, cư xử
treatment	sự đối xử, sự cư xử
tree	cây
trend	phương hướng, xu hướng, chiều hướng
trial	sự thử nghiệm, cuộc thử nghiệm
triangle	hình tam giác
trick	mưu mẹo, thủ đoạn, trò lừa gạt, lừa gạt
trip	cuộc dạo chơi, cuộc du ngoạn; đi dạo, du ngoạn
tropical	nhiệt đới
trouble	điều lo lắng, điều muộn phiền
trousers	quần tây
truck	sự trao đổi, sự đổi chác
truly	đúng sự thật, đích thực, thực sự
trust	niềm tin, sự phó thác; tin, tin cậy, phó thác
truth	sự thật
try	thử, cố gắng
tube	ống, tuýp
tuesday (abbr tue, tues)	thứ 3
tune	điệu, giai điệu; lên dây, so dây (đàn)
tunnel	đường hầm, hang
turn	quay, xoay, vặn; sự quay, vòng quay
tv television	vô tuyếntruyềnhình
twice	hai lần
twin	sinh đôi, tạo thành cặp; cặp song sinh
twist	xoắn, cuộn, quắn; sự xoắn, vòng xoắn
twisted	được xoắn, được cuộn
type	loại, kiểu,mẫu;phânloại,xếploại
typical	tiêu biểu, điển hình, đặc trưng
typically	điển hình, tiêu biểu
tyre	lốp, vỏ xe
ugly	xấu xí, xấu xa
ultimate	cuối cùng, sau cùng
ultimately	cuối cùng, sau cùng
umbrella	ô, dù
unable	không có năng lực, không có tài, không thể, không có khẳ năng
unacceptable	không chấp nhận được
unacceptable, acceptable	không thể chấp nhận
uncertain	thiếu chính xác, không chắc chắn
uncertain, certain	không chắc chắn, khôn biết rõ ràng
uncle	chú, bác
uncomfortable	bất tiện, khó chịu, không thoải má
uncomfortable,comfortable	bất tiện, không tiện lợi
unconscious	bất tỉnh, không có ý thức, không biết rõ
unconscious, conscious	bất tỉnh, ngất đi
uncontrolled	khôngbị điềukhiển,khôngbị kiểmtra,khôngbịhạnchế
uncontrolled, control	không bị kiềm chế, không bị kiểm tra
under	dưới,ởdưới;ởphíadưới,vềphíadưới
underground	dưới mặt đất, ngầm dưới đất; ngầm
underneath	dưới, bên dưới
understand	hiểu, nhận thức
understanding	trí tuệ, sự hiểu biết
underwater	ở dưới mặt nước, dưới mặt nước
underwear	quần lót
undo	tháo, gỡ; xóa bỏ, hủy bỏ
unemployed	thất nghiệp; không dùng, không sử dụng được
unemployment	sự thất nghiệp, nạn thất nghiệp
unexpected	bất ngờ, gây ngạc nhiên
unexpectedly	bất ngờ, gây ngạc nhiên
unfair	gianlận, khôngcôngbằng;bấtlợi
unfair, unfairly	không đúng, không công bằng, gian lận
unfairly	gianlận, khôngcôngbằng;bấtlợi
unfortunate	không may, rủi ro, bất hạnh
unfortunately	một cách đáng tiếc, một cách không may
unfriendly	không thân thiện, không có thiện cảm
unhappiness	nỗi buồn, sự bất hạnh
unhappy	buồn rầu, khốn khổ
uniform	đồngphục;đều,giốngnhấu,đồng dạng
unimportant	khônh quan trọng, không trọng đạ
union	liên hiệp, sự đoàn kết, sự hiệp nhất
unique	độc nhất vô nhị
unit	đơn vị
unite	liên kết, hợp nhất, hợp lại, kết thâ
united	liên minh, đoàn kết, chung, thống nhất
universe	vũ trụ
university	trường đại học
unkind	độc ác, tàn nhẫn
unknown	không biết
unless	trừ phi, trừ khi, nếu không
unlike	khác, không giống
unlikely	không thể xảy ra, không chắc xảy ra
unload	cất gánh nặng, dỡ hàng
unlucky	không gặp may, bất hạnh
unnecessary	không cần thiết, không mong muốn
unpleasant	không dễ chịu, khó chịu, khó ưa
unreasonable	vô lý
unsteady	không chắc, không ổn định
unsuccessful	không thành công, thất bại
untidy	không gọn gàng, không ngăn nắp lộn xộn
until, till	trước khi, cho đến khi
unusual	hiếm, khác thường
unusually	cực kỳ, khác thường
unwilling	khôngmuốn,khôngcó ýđịnh
unwillingly	không sẵn lòng, miễn cưỡng
up	ở trên, lên trên, lên
upon	trên, ở trên
upper	cao hơn
upset	làm đổ, đánh đổ
upsetting	tính đánh đổ, làm đổ
upside down	lộn ngược
upstairs	ở tên gác, cư ngụ ở tầng gác; tần trên, gác
upward	lên, hướng lên, đi lên
upwards	lên,hướnglên,đilên,vềphíatrên
urban	(thuộc) thành phố, khu vực
urge	thúc, giục, giục giã; sự thúc đẩy, sự thôi thúc
urgent	gấp, khẩn cấp
us	chúng tôi, chúng ta
useful	hữu ích, giúp ích
usual	thông thường, thường dùng
usually	thường thường
vacation	kỳ nghỉ hè, kỳ nghỉ lễ; ngày nghỉ, ngày lễ
valid	chắc chắn, hiệu quả, hợp lý
valley	thung lũng
valuable	có giá trị lớn, đáng giá
value	giá trị, ước tính, định giá
van	tiền đội, quân tiên phong; xe tải
variation	sự biến đổi, sự thay đổi mức độ, sự khác nhau
varied	thuộcnhiềuloạikhácnhau,những vẻđadạng
variety	sự đa dạng, trạng thái khác nhau
various	khác nhau, thuộc về nhiều loại
vary	thay đổi, làm cho khác nhau, biến đổi
vast	rộng lớn, mênh mông
vegetable	 rau, thực vật
vehicle	xe cộ
venture	dự án kinh doanh, công việc kinh doanh; liều, mạo hiểm, cả gan
version	bản dịchsangmộtngônngữkhác
vertical	thẳng đứng, đứng
very	rất, lắm
via	qua, theo đường
victim	nạn nhân
victory	chiến thắng
video	video
view	sự nhìn, tầm nhìn; nhìn thấy, xem quan sát
village	làng, xã
violence	sự ác liệt, sự dữ dội; bạo lực
violent	mãnh liệt, mạnh mẽ, hung dữ
violently	mãnh liệt, dữ dội
virtually	thực sự, hầu như, gần như
virus	vi rút
visible	hữu hình, thấy được
vision	sự nhìn, thị lực
visit	đi thăm hỏi, đến chơi, tham quan; sự đi thăm, sự thăm viếng
visitor	khách, du khách
vital	(thuộc) sự sống, cần cho sự sống
vocabulary	từ vựng
voice	tiếng, giọng nói
volume	thế tích, quyển, tập
vote	sự bỏphiếu,sự bầu cử; bỏphiếu,bầucử
wage	tiền lương, tiền công
waist	eo, chỗ thắt lưng
wait	chờ đợi
waiter, waitress	người hầu bàn, người đợi, người trông chờ
wake up	thức dậy, tỉnh thức
walk	đi, đi bộ; sự đi bộ, sự đi dạo
walking	sự đi, sự đi bộ
wall	tường, vách
wallet	cái ví
wander	đi lang thang; sự đi lang thang
want	muốn
war	chiến tranh
warm	ấm, ấm áp; làm cho nóng, hâm nóng
warmth	trạng thái ấm, sự ấm áp; hơi ấm
warn	báo cho biết, cảnh báo
warning	sự báo trước, lời cảnh báo
wash	rửa, giặt
washing	sự tắm rửa, sự giặt
waste	lãngphí,uổngphí;vùnghoangvusa mạc; bỏhoang
watch	nhìn, theo dõi, quan sát; sự canh gác, sự canh phòng
water	nước
wave	sóng, gợn nước; gợn sóng, uốn thành sóng
way	đường, đường đi
we	chúng tôi, chúng ta
weak	yếu, yếu ớt
weakness	tình trạng yếu đuối, yếu ớt
wealth	sự giàu có, sự giàu sang
weapon	vũ khí
wear	mặc, mang, đeo
weather	thời tiết
web	mạng, lưới
website	không gian liên tới với internet
wedding	lễ cưới, hôn lễ
wednesday	thứ 4
week	tuần, tuần lễ
weekend	cuối tuần
weekly	mỗi tuần một lần, hàng tuần
weigh	cân, cân nặng
weight	trọng lượng
welcome	 chào mừng, hoan nghênh
well	 tốt, giỏi; ôi, may quá!
well known	nổi tiếng, được nhiều người biết đến
west	phíatây,theophíatây,vềhướngtây
western	về phía tây, của phía tây
wet	ướt, ẩm ướt
what	gì, thế nào
whatever	bất cứ thứ gì, bất kể thứ gì
wheel	bánh xe
when	khi, lúc, vào lúc nào
whenever	bất cứ lúc nào, lúc nào
where	đâu, ở đâu; nơi mà
whereas	nhưng trái lại, trong khi mà
wherever	ở bất cứ nơi nào, ở bất cứ nơi đâ
whether	có..không;có...chăng;khôngbiếtcó..không
which	nào, bất cứ.. nào; ấy, đó
while	trong lúc, trong khi; lúc, chốc, lát
whilst	trong lúc, trong khi
whistle	sự huýt sáo, sựthổicòi;huýtsáo,thổicòi
white	trắng; màu trắng
who	ai, người nào, kẻ nào, người như thế nào
whoever	ai, người nào, bất cứ ai, bất cứ người nào, dù ai
whole	bình an vô sự, không suy suyển, không hư hỏng; toàn bộ, tất cả, toàn thể
whom	ai, người nào; người mà
whose	của ai
why	tại sao, vì sao
wide	rộng, rộng lớn
widely	nhiều, xa; rộng rãi
width	tính chất rộng, bề rộng
wife	vợ
wild	dại, hoang
wildly	dại, hoang
will	sẽ; ý chí, ý định
willing	bằng lòng, vui lòng, muốn
willingly	sẵn lòng, tự nguyện
willingness	sự bằng lòng, sự vui lòng
win	chiếm, đọat, thu được
wind	quấn lại, cuộn lại. wind sth up: lên dây, quấn, giải quyết
window	cửa sổ
wine	rượu, đồ uống
wing	cánh, sự bay, sự cất cánh
winner	người thắng cuộc
winning	đang dành thắng lợi, thắng cuộc
winter	mùa đông
wire	dây (kim loại)
wise	khônngoan,sáng suốt,thôngthái
wish	ước, mong muốn; sự mong ước, lòng mong muốn
with	với, cùng
withdraw	rút, rút khỏi, rút lui
within	trongvongthờigian,trongkhoảngthờigian
without	không, không có
witness	sự làm chứng, bằng chứng; chứng kiến, làm chứng
woman	đàn bà, phụ nữ
wonder	ngạc nhiên, lấy làm lạ, kinh ngạc
wonderful	phithường, khác thường,kỳdiệu,tuyệtvời
wood	gỗ
wooden	làm bằng gỗ
wool	len
work	làm việc, sự làm việc
worker	người lao động
working	sự làm, sự làm việc
world	thế giới
worried	bồn chồn, lo nghĩ, tỏ ra lo lắng.
worry	lo lắng, suy nghĩ; sự lo lắng, suy nghĩ
worrying	gây lo lắng, gây lo nghĩ
worse, worst	xấu
worship	sự tôn thờ, sự tôn sùng; thờ, thờ phụng, tôn thờ
worth	đáng giá, có giá trị
would	sẽ
wound	vết thương, thương tích; làm bị thường, gây thương tích
wounded	bị thương
wrap	gói, bọc, quấn
wrapping	vật bao bọc, vật quấn quanh
wrist	cổ tay
write	viết
writer	người viết
writing	sự viết
written	viết ra, được thảo ra
wrong	sai. go wrong mắc lỗi, sai lầm
wrongly	một cách bất công,không đúng
yard	sân,thướcanh (bằng 0,914 mét)
yawn	há miệng; cử chỉ ngáp
yeah	vâng, ừ
year	năm
yellow	vàng; màu vàng
yes	vâng, phải, có chứ
yesterday	hôm qua
yet	còn, hãy cỏn, còn nữa; như mà, xong, tuy thế, tuy nhiên
you	anh, chị, ông, bà, ngài, ngươi, mày; các anh, các chị, các ông, các bà, các ngài, các người, chúng mày
young	trẻ, trẻ tuổi, thanh niên
your	của anh,của chị,của ngài,của mày;của các anh,của các chị,của các ngài, của chúng mày
yours sincerely	bạn chân thành của anh, chị.. (viế ở cuối thư)
yours truly	lời kết thúc thư (bạn chân thành của...)
yourself	tự anh, tự chị, chính anh, chính mày, tự mày, tự mình
youth	tuổi trẻ,tuổi xuân,tuổi thanh niên,tuổi niênthiếu
zero number	số không
zone	moi
